1,1,1,0.018551
1,6,1,0.016051
1,11,1,0.016099
1,16,1,0.015967
1,21,1,0.016452
1,26,1,0.015816
1,31,1,0.016334
1,36,1,0.015828
1,1,6,0.008143
1,6,6,0.008096
1,11,6,0.008032
1,16,6,0.008231
1,21,6,0.008212
1,26,6,0.008472
1,31,6,0.008285
1,36,6,0.008191
1,1,11,0.008143
1,6,11,0.008029
1,11,11,0.008085
1,16,11,0.00812
1,21,11,0.008032
1,26,11,0.008438
1,31,11,0.008101
1,36,11,0.008337
1,1,16,0.008402
1,6,16,0.008171
1,11,16,0.008082
1,16,16,0.008106
1,21,16,0.008097
1,26,16,0.008166
1,31,16,0.008124
1,36,16,0.008161
1,1,21,0.008933
1,6,21,0.008138
1,11,21,0.008115
1,16,21,0.008157
1,21,21,0.008266
1,26,21,0.00917
1,31,21,0.008197
1,36,21,0.008247
1,1,26,0.008604
1,6,26,0.008188
1,11,26,0.008296
1,16,26,0.008168
1,21,26,0.008184
1,26,26,0.00819999
1,31,26,0.008284
1,36,26,0.009035
1,1,31,0.017051
1,6,31,0.015445
1,11,31,0.016078
1,16,31,0.020118
1,21,31,0.013637
1,26,31,0.018632
1,31,31,0.01571
1,36,31,0.020925
1,1,36,0.02692
1,6,36,0.027587
1,11,36,0.026179
1,16,36,0.021489
1,21,36,0.017853
1,26,36,0.020774
1,31,36,0.03002
1,36,36,0.01663
10,1,1,0.10936
10,6,1,0.112078
10,11,1,0.112206
10,16,1,0.112821
10,21,1,0.111333
10,26,1,0.110108
10,31,1,0.110415
10,36,1,0.110255
10,1,6,0.023835
10,6,6,0.023793
10,11,6,0.024742
10,16,6,0.024014
10,21,6,0.023899
10,26,6,0.02476
10,31,6,0.025819
10,36,6,0.025621
10,1,11,0.016983
10,6,11,0.017968
10,11,11,0.016976
10,16,11,0.016567
10,21,11,0.017471
10,26,11,0.016944
10,31,11,0.01699
10,36,11,0.017657
10,1,16,0.015961
10,6,16,0.018229
10,11,16,0.016181
10,16,16,0.015762
