10000,1,1,111.253
10000,3,1,110.921
10000,5,1,111.647
10000,7,1,111.354
10000,9,1,111.133
10000,11,1,111.217
10000,13,1,111.324
10000,15,1,111.376
10000,17,1,111.457
10000,19,1,111.464
10000,21,1,111.141
10000,23,1,111.637
10000,25,1,110.518
10000,27,1,111.571
10000,29,1,111.359
10000,31,1,111.458
10000,33,1,111.04
10000,35,1,110.594
10000,37,1,111.472
10000,39,1,110.791
10000,41,1,110.822
10000,43,1,110.039
10000,45,1,116.197
10000,47,1,118.263
10000,49,1,120.428
10000,51,1,120.868
10000,53,1,120.784
10000,55,1,120.511
10000,57,1,119.549
10000,59,1,118.196
10000,61,1,118.153
10000,63,1,117.959
10000,65,1,110.914
10000,67,1,110.837
10000,69,1,110.641
10000,71,1,110.569
10000,73,1,110.806
10000,75,1,110.737
10000,1,2,55.1391
10000,3,2,55.2175
10000,5,2,54.9887
10000,7,2,55.2762
10000,9,2,55.0492
10000,11,2,54.986
10000,13,2,55.211
10000,15,2,55.6001
10000,17,2,55.0334
10000,19,2,55.311
10000,21,2,55.3625
10000,23,2,55.1066
10000,25,2,55.1779
10000,27,2,55.3468
10000,29,2,55.2945
10000,31,2,55.2016
10000,33,2,55.3484
10000,35,2,55.5499
10000,37,2,55.3249
10000,39,2,55.4692
10000,41,2,55.5278
10000,43,2,55.298
10000,45,2,55.0338
10000,47,2,55.5403
10000,49,2,55.1831
10000,51,2,54.9603
10000,53,2,54.9998
10000,55,2,55.3107
10000,57,2,55.0619
10000,59,2,55.6078
10000,61,2,55.1136
10000,63,2,55.33
10000,65,2,55.1217
10000,67,2,55.4458
10000,69,2,55.4604
10000,71,2,55.5382
10000,73,2,54.9165
10000,75,2,55.091
10000,1,3,36.4767
10000,3,3,36.8222
10000,5,3,36.6544
10000,7,3,36.5389
10000,9,3,36.6874
10000,11,3,36.8451
10000,13,3,36.5426
10000,15,3,36.4739
10000,17,3,36.5241
10000,19,3,36.3595
10000,21,3,36.6461
10000,23,3,36.4168
10000,25,3,36.8208
